                *** LIST OF THE CELLULAR FREQUENCIES ***

        Cellular phones operate on a full duplex channel.  One frequency is
used for transmission from the base to the phone, while another is used for
transmission from the phone to the base.  The base frequencies are always
exactly 45 MHZ higher than the phone frequency, and both of these are
incremented by 30 KHZ as the progression of channels increases from  Channel
#1 to Chanel #1023 (NOTE: There are no channels between 800 and 990).

        With some systems (not all) the cellular transmission is received by
the base and retransmitted on the base frequency.  When this is done, a 
scanner can listen to both sides of the conversation by simply monitoring the
base frequency.  When this is not the case, two scanners set 45 MHZ apart
will work.

        Here is a list of all Cellular Frequencies:


Channel    Tx Freq    Rx Freq             Channel   Tx Freq    Rx Freq    
     34     871.02     826.02               367     881.01     836.01  
     35     871.05     826.05               368     881.04     836.04  
     36     871.08     826.08               369     881.07     836.07  
     37     871.11     826.11               370     881.10     836.10  
     38     871.14     826.14               371     881.13     836.13  
     39     871.17     826.17               372     881.16     836.16  
     40     871.20     826.20               373     881.19     836.19  
     41     871.23     826.23               374     881.22     836.22  
     42     871.26     826.26               375     881.25     836.25  
     43     871.29     826.29               376     881.28     836.28  
     44     871.32     826.32               377     881.31     836.31  
     45     871.35     826.35               378     881.34     836.34  
     46     871.38     826.38               379     881.37     836.37  
     47     871.41     826.41               380     881.40     836.40  
     48     871.44     826.44               381     881.43     836.43  
     49     871.47     826.47               382     881.46     836.46  
     50     871.50     826.50               383     881.49     836.49  
     51     871.53     826.53               384     881.52     836.52  
     52     871.56     826.56               385     881.55     836.55  
     53     871.59     826.59               386     881.58     836.58  
     54     871.62     826.62               387     881.61     836.61  
     55     871.65     826.65               388     881.64     836.64  
     56     871.68     826.68               389     881.67     836.67  
     57     871.71     826.71               390     881.70     836.70  
     58     871.74     826.74               391     881.73     836.73  
     59     871.77     826.77               392     881.76     836.76  
     60     871.80     826.80               393     881.79     836.79  
     61     871.83     826.83               394     881.82     836.82  
     62     871.86     826.86               395     881.85     836.85  
     63     871.89     826.89               396     881.88     836.88  
     64     871.92     826.92               397     881.91     836.91  
     65     871.95     826.95               398     881.94     836.94  
     66     871.98     826.98               399     881.97     836.97  
     67     872.01     827.01               400     882.00     837.00  
     68     872.04     827.04               401     882.03     837.03  
     69     872.07     827.07               402     882.06     837.06  
     70     872.10     827.10               403     882.09     837.09  
     71     872.13     827.13               404     882.12     837.12  
     72     872.16     827.16               405     882.15     837.15  
     73     872.19     827.19               406     882.18     837.18  
     74     872.22     827.22               407     882.21     837.21  
     75     872.25     827.25               408     882.24     837.24  
     76     872.28     827.28               409     882.27     837.27  
     77     872.31     827.31               410     882.30     837.30  
     78     872.34     827.34               411     882.33     837.33  
     79     872.37     827.37               412     882.36     837.36  
     80     872.40     827.40               413     882.39     837.39  
     81     872.43     827.43               414     882.42     837.42  
     82     872.46     827.46               415     882.45     837.45  
     83     872.49     827.49               416     882.48     837.48  
     84     872.52     827.52               417     882.51     837.51  
     85     872.55     827.55               418     882.54     837.54  
     86     872.58     827.58               419     882.57     837.57  
     87     872.61     827.61               420     882.60     837.60  
     88     872.64     827.64               421     882.63     837.63  
     89     872.67     827.67               422     882.66     837.66  
     90     872.70     827.70               423     882.69     837.69  
     91     872.73     827.73               424     882.72     837.72  
     92     872.76     827.76               425     882.75     837.75  
     93     872.79     827.79               426     882.78     837.78  
     94     872.82     827.82               427     882.81     837.81  
     95     872.85     827.85               428     882.84     837.84  
     96     872.88     827.88               429     882.87     837.87  
     97     872.91     827.91               430     882.90     837.90  
     98     872.94     827.94               431     882.93     837.93  
     99     872.97     827.97               432     882.96     837.96  
    100     873.00     828.00               433     882.99     837.99  
    101     873.03     828.03               434     883.02     838.02  
    102     873.06     828.06               435     883.05     838.05  
    103     873.09     828.09               436     883.08     838.08  
    104     873.12     828.12               437     883.11     838.11  
    105     873.15     828.15               438     883.14     838.14  
    106     873.18     828.18               439     883.17     838.17  
    107     873.21     828.21               440     883.20     838.20  
    108     873.24     828.24               441     883.23     838.23  
    109     873.27     828.27               442     883.26     838.26  
    110     873.30     828.30               443     883.29     838.29  
    111     873.33     828.33               444     883.32     838.32  
    112     873.36     828.36               445     883.35     838.35  
    113     873.39     828.39               446     883.38     838.38  
    114     873.42     828.42               447     883.41     838.41  
    115     873.45     828.45               448     883.44     838.44  
    116     873.48     828.48               449     883.47     838.47  
    117     873.51     828.51               450     883.50     838.50  
    118     873.54     828.54               451     883.53     838.53  
    119     873.57     828.57               452     883.56     838.56  
    120     873.60     828.60               453     883.59     838.59  
    121     873.63     828.63               454     883.62     838.62  
    122     873.66     828.66               455     883.65     838.65  
    123     873.69     828.69               456     883.68     838.68  
    124     873.72     828.72               457     883.71     838.71  
    125     873.75     828.75               458     883.74     838.74  
    126     873.78     828.78               459     883.77     838.77  
    127     873.81     828.81               460     883.80     838.80  
    128     873.84     828.84               461     883.83     838.83  
    129     873.87     828.87               462     883.86     838.86  
    130     873.90     828.90               463     883.89     838.89  
    131     873.93     828.93               464     883.92     838.92  
    132     873.96     828.96               465     883.95     838.95  
    133     873.99     828.99               466     883.98     838.98  
    134     874.02     829.02               467     884.01     839.01  
    135     874.05     829.05               468     884.04     839.04  
    136     874.08     829.08               469     884.07     839.07  
    137     874.11     829.11               470     884.10     839.10  
    138     874.14     829.14               471     884.13     839.13  
    139     874.17     829.17               472     884.16     839.16  
    140     874.20     829.20               473     884.19     839.19  
    141     874.23     829.23               474     884.22     839.22  
    142     874.26     829.26               475     884.25     839.25  
    143     874.29     829.29               476     884.28     839.28  
    144     874.32     829.32               477     884.31     839.31  
    145     874.35     829.35               478     884.34     839.34  
    146     874.38     829.38               479     884.37     839.37  
    147     874.41     829.41               480     884.40     839.40  
    148     874.44     829.44               481     884.43     839.43  
    149     874.47     829.47               482     884.46     839.46  
    150     874.50     829.50               483     884.49     839.49  
    151     874.53     829.53               484     884.52     839.52  
    152     874.56     829.56               485     884.55     839.55  
    153     874.59     829.59               486     884.58     839.58  
    154     874.62     829.62               487     884.61     839.61  
    155     874.65     829.65               488     884.64     839.64  
    156     874.68     829.68               489     884.67     839.67  
    157     874.71     829.71               490     884.70     839.70  
    158     874.74     829.74               491     884.73     839.73  
    159     874.77     829.77               492     884.76     839.76  
    160     874.80     829.80               493     884.79     839.79  
    161     874.83     829.83               494     884.82     839.82  
    162     874.86     829.86               495     884.85     839.85  
    163     874.89     829.89               496     884.88     839.88  
    164     874.92     829.92               497     884.91     839.91  
    165     874.95     829.95               498     884.94     839.94  
    166     874.98     829.98               499     884.97     839.97  
    167     875.01     830.01               500     885.00     840.00  
    168     875.04     830.04               501     885.03     840.03  
    169     875.07     830.07               502     885.06     840.06  
    170     875.10     830.10               503     885.09     840.09  
    171     875.13     830.13               504     885.12     840.12  
    172     875.16     830.16               505     885.15     840.15  
    173     875.19     830.19               506     885.18     840.18  
    174     875.22     830.22               507     885.21     840.21  
    175     875.25     830.25               508     885.24     840.24  
    176     875.28     830.28               509     885.27     840.27  
    177     875.31     830.31               510     885.30     840.30  
    178     875.34     830.34               511     885.33     840.33  
    179     875.37     830.37               512     885.36     840.36  
    180     875.40     830.40               513     885.39     840.39  
    181     875.43     830.43               514     885.42     840.42  
    182     875.46     830.46               515     885.45     840.45  
    183     875.49     830.49               516     885.48     840.48  
    184     875.52     830.52               517     885.51     840.51  
    185     875.55     830.55               518     885.54     840.54  
    186     875.58     830.58               519     885.57     840.57  
    187     875.61     830.61               520     885.60     840.60  
    188     875.64     830.64               521     885.63     840.63  
    189     875.67     830.67               522     885.66     840.66  
    190     875.70     830.70               523     885.69     840.69  
    191     875.73     830.73               524     885.72     840.72  
    192     875.76     830.76               525     885.75     840.75  
    193     875.79     830.79               526     885.78     840.78  
    194     875.82     830.82               527     885.81     840.81  
    195     875.85     830.85               528     885.84     840.84  
    196     875.88     830.88               529     885.87     840.87  
    197     875.91     830.91               530     885.90     840.90  
    198     875.94     830.94               531     885.93     840.93  
    199     875.97     830.97               532     885.96     840.96  
    200     876.00     831.00               533     885.99     840.99  
    201     876.03     831.03               534     886.02     841.02  
    202     876.06     831.06               535     886.05     841.05  
    203     876.09     831.09               536     886.08     841.08  
    204     876.12     831.12               537     886.11     841.11  
    205     876.15     831.15               538     886.14     841.14  
    206     876.18     831.18               539     886.17     841.17  
    207     876.21     831.21               540     886.20     841.20  
    208     876.24     831.24               541     886.23     841.23  
    209     876.27     831.27               542     886.26     841.26  
    210     876.30     831.30               543     886.29     841.29  
    211     876.33     831.33               544     886.32     841.32  
    212     876.36     831.36               545     886.35     841.35  
    213     876.39     831.39               546     886.38     841.38  
    214     876.42     831.42               547     886.41     841.41  
    215     876.45     831.45               548     886.44     841.44  
    216     876.48     831.48               549     886.47     841.47  
    217     876.51     831.51               550     886.50     841.50  
    218     876.54     831.54               551     886.53     841.53  
    219     876.57     831.57               552     886.56     841.56  
    220     876.60     831.60               553     886.59     841.59  
    221     876.63     831.63               554     886.62     841.62  
    222     876.66     831.66               555     886.65     841.65  
    223     876.69     831.69               556     886.68     841.68  
    224     876.72     831.72               557     886.71     841.71  
    225     876.75     831.75               558     886.74     841.74  
    226     876.78     831.78               559     886.77     841.77  
    227     876.81     831.81               560     886.80     841.80  
    228     876.84     831.84               561     886.83     841.83  
    229     876.87     831.87               562     886.86     841.86  
    230     876.90     831.90               563     886.89     841.89  
    231     876.93     831.93               564     886.92     841.92  
    232     876.96     831.96               565     886.95     841.95  
    233     876.99     831.99               566     886.98     841.98  
    234     877.02     832.02               567     887.01     842.01  
    235     877.05     832.05               568     887.04     842.04  
    236     877.08     832.08               569     887.07     842.07  
    237     877.11     832.11               570     887.10     842.10  
    238     877.14     832.14               571     887.13     842.13  
    239     877.17     832.17               572     887.16     842.16  
    240     877.20     832.20               573     887.19     842.19  
    241     877.23     832.23               574     887.22     842.22  
    242     877.26     832.26               575     887.25     842.25  
    243     877.29     832.29               576     887.28     842.28  
    244     877.32     832.32               577     887.31     842.31  
    245     877.35     832.35               578     887.34     842.34  
    246     877.38     832.38               579     887.37     842.37  
    247     877.41     832.41               580     887.40     842.40  
    248     877.44     832.44               581     887.43     842.43  
    249     877.47     832.47               582     887.46     842.46  
    250     877.50     832.50               583     887.

